Ord,WellID,Date,DayOn,OilMo,GasMo,WatMo,LiqMo,GOR,OilR,GasR,WatR,LiqR,WCT,Type,X,Y,year,month,day
58,102P,2019-10-01,30.92,6273,489.3,0,6273,78.0,202.8783959,15.82470893,0.0,202.8783959,0.0,Production,20.579846,106.835224,2019,10,1
59,104P,2019-10-01,30.42,3618,285.8,0,3618,79.0,118.9349112,9.39513478,0.0,118.9349112,0.0,Production,20.503652,106.741497,2019,10,1
60,105P,2019-10-01,30.79,2556,316.9,5,2561,124.0,83.01396557,10.2923027,0.162390386,83.17635596,0.195236236,Production,20.547723,106.699911,2019,10,1
61,106P,2019-10-01,30.92,4388,2404.6,0,4388,548.0,141.9146184,77.76843467,0.0,141.9146184,0.0,Production,20.541916,106.570045,2019,10,1
62,2X,2019-10-01,8.08,1085,92.2,102,1187,85.0,134.2821782,11.41089109,12.62376238,146.9059406,8.593091828,Exploration,20.55606,106.646396,2019,10,1
63,3X,2019-10-01,15.5,6324,645.0,595,6919,51.0,408.0,41.61290323,38.38709677,446.3870968,8.5995086,Exploration,20.595273,106.733257,2019,10,1
64,4X,2019-10-01,15.5,6262,695.1,0,6262,55.5,404.0,44.84516129,0.0,404.0,0.0,Exploration,20.660821,106.727077,2019,10,1
65,5X,2019-10-01,23.5,917,387.0,0,917,422.0,39.0212766,16.46808511,0.0,39.0212766,0.0,Exploration,20.62548,106.773082,2019,10,1
66,101P,2019-11-01,15.0,6664,606.4,34,6698,45.5,444.2666667,40.42666667,2.266666667,446.5333333,0.507614213,Production,20.656645,106.63129,2019,11,1
67,102P,2019-11-01,29.79,5364,568.6,32,5396,106.0,180.060423,19.08694193,1.074185968,181.1346089,0.593031875,Production,20.579846,106.835224,2019,11,1
68,104P,2019-11-01,27.5,2063,235.2,13,2076,114.0,75.01818182,8.552727273,0.472727273,75.49090909,0.626204239,Production,20.503652,106.741497,2019,11,1
69,105P,2019-11-01,29.79,2622,194.0,27,2649,74.0,88.01611279,6.512252434,0.906344411,88.9224572,1.019252548,Production,20.547723,106.699911,2019,11,1
70,106P,2019-11-01,27.71,2798,2171.2,267,3065,776.0,100.9743775,78.3543847,9.635510646,110.6098881,8.711256117,Production,20.541916,106.570045,2019,11,1
71,107P,2019-11-01,21.92,4380,530.0,22,4402,121.0,199.8175182,24.17883212,1.003649635,200.8211679,0.499772831,Production,20.575047,106.659054,2019,11,1
72,2X,2019-11-01,30.0,2460,66.4,68,2528,27.0,82.0,2.213333333,2.266666667,84.26666667,2.689873418,Exploration,20.55606,106.646396,2019,11,1
73,3X,2019-11-01,15.0,5580,541.3,155,5735,48.5,372.0,36.08666667,10.33333333,382.3333333,2.702702703,Exploration,20.595273,106.733257,2019,11,1
74,4X,2019-11-01,15.0,6300,661.5,38,6338,52.5,420.0,44.1,2.533333333,422.5333333,0.59955822,Exploration,20.660821,106.727077,2019,11,1
75,5X,2019-11-01,29.58,1006,143.9,5,1011,143.0,34.00946586,4.864773496,0.16903313,34.17849899,0.494559842,Exploration,20.62548,106.773082,2019,11,1
76,101P,2019-12-01,15.645,6479,764.5,39,6518,59.0,414.1259188,48.86545222,2.492809204,416.618728,0.59834305,Production,20.656645,106.63129,2019,12,1
77,102P,2019-12-01,31.29,5697,609.6,34,5731,107.0,182.0709492,19.4822627,1.08660914,183.1575583,0.593264701,Production,20.579846,106.835224,2019,12,1
78,103P,2019-12-01,11.29,2838,618.7,458,3296,218.0,251.3728964,54.80070859,40.56687334,291.9397697,13.89563107,Production,20.674955,106.759349,2019,12,1
79,104P,2019-12-01,31.21,2090,219.5,13,2103,105.0,66.96571612,7.033002243,0.416533162,67.38224928,0.618164527,Production,20.503652,106.741497,2019,12,1
80,105P,2019-12-01,29.21,2599,387.3,703,3302,149.0,88.97637795,13.25915782,24.06710031,113.0434783,21.2901272,Production,20.547723,106.699911,2019,12,1
81,106P,2019-12-01,26.29,3340,447.6,388,3728,134.0,127.0445036,17.02548498,14.75846329,141.8029669,10.40772532,Production,20.541916,106.570045,2019,12,1
82,107P,2019-12-01,30.42,4986,688.1,30,5016,138.0,163.9053254,22.61998685,0.986193294,164.8915187,0.598086124,Production,20.575047,106.659054,2019,12,1
83,2X,2019-12-01,30.71,2057,139.9,4,2061,68.0,66.98143927,4.555519375,0.130250733,67.11169,0.194080543,Exploration,20.55606,106.646396,2019,12,1
84,3X,2019-12-01,15.54,5660,469.8,11,5671,41.5,364.2213642,30.23166023,0.707850708,364.9292149,0.193969318,Exploration,20.595273,106.733257,2019,12,1
85,4X,2019-12-01,15.645,5665,985.7,34,5699,87.0,362.0965165,63.00415468,2.173218281,364.2697347,0.596595894,Exploration,20.660821,106.727077,2019,12,1
86,5X,2019-12-01,29.29,1260,129.8,8,1268,103.0,43.01809491,4.431546603,0.273130761,43.29122567,0.630914826,Exploration,20.62548,106.773082,2019,12,1
87,101P,2020-01-01,15.355,6294,730.1,38,6332,58.0,409.8990557,47.54802996,2.474763921,412.3738196,0.600126342,Production,20.656645,106.63129,2020,1,1
88,102P,2020-01-01,30.71,5096,366.9,36,5132,72.0,165.9394334,11.94724845,1.172256594,167.11169,0.701480904,Production,20.579846,106.835224,2020,1,1
89,103P,2020-01-01,30.71,7113,732.6,65,7178,103.0,231.6183654,23.85542169,2.116574406,233.7349398,0.90554472,Production,20.674955,106.759349,2020,1,1
90,104P,2020-01-01,30.29,1818,178.2,13,1831,98.0,60.01980852,5.883129746,0.429184549,60.44899307,0.709994539,Production,20.503652,106.741497,2020,1,1
91,105P,2020-01-01,23.21,1694,250.7,15,1709,148.0,72.98578199,10.80137872,0.646273158,73.63205515,0.877706261,Production,20.547723,106.699911,2020,1,1
92,106P,2020-01-01,30.71,1626,239.0,220,1846,147.0,52.94692283,7.782481276,7.163790296,60.11071312,11.9176598,Production,20.541916,106.570045,2020,1,1
93,107P,2020-01-01,30.71,3531,1846.7,21,3552,523.0,114.9788343,60.133507,0.683816346,115.6626506,0.591216216,Production,20.575047,106.659054,2020,1,1
94,2X,2020-01-01,30.08,2619,319.5,0,2619,122.0,87.06781915,10.62167553,0.0,87.06781915,0.0,Exploration,20.55606,106.646396,2020,1,1
95,3X,2020-01-01,15.355,6201,589.1,0,6201,47.5,403.8423966,38.36535331,0.0,403.8423966,0.0,Exploration,20.595273,106.733257,2020,1,1
96,4X,2020-01-01,15.355,5342,662.4,32,5374,62.0,347.8997069,43.13904266,2.084011723,349.9837187,0.59545962,Exploration,20.660821,106.727077,2020,1,1
97,5X,2020-01-01,30.29,1121,126.7,7,1128,113.0,37.00891383,4.182898646,0.231099373,37.24001321,0.620567376,Exploration,20.62548,106.773082,2020,1,1
98,101P,2020-02-01,14.395,5679,567.9,34,5713,50.0,394.5119833,39.45119833,2.361931226,396.8739146,0.595133905,Production,20.656645,106.63129,2020,2,1
99,102P,2020-02-01,28.79,4176,634.8,46,4222,152.0,145.0503647,22.04932268,1.597777006,146.6481417,1.089531028,Production,20.579846,106.835224,2020,2,1
100,103P,2020-02-01,12.145,4957,530.4,30,4987,53.5,408.1515027,43.67229312,2.470152326,410.621655,0.601564067,Production,20.674955,106.759349,2020,2,1
101,104P,2020-02-01,28.21,1692,199.7,26,1718,118.0,59.97873095,7.079049982,0.921658986,60.90038993,1.51338766,Production,20.503652,106.741497,2020,2,1
102,105P,2020-02-01,11.08,910,164.7,92,1002,181.0,82.1299639,14.86462094,8.303249097,90.433213,9.181636727,Production,20.547723,106.699911,2020,2,1
103,106P,2020-02-01,14.21,2897,388.2,35,2932,67.0,203.8705137,27.31878958,2.463054187,206.3335679,1.19372442,Production,20.541916,106.570045,2020,2,1
104,107P,2020-02-01,28.79,4118,840.1,25,4143,204.0,143.0357763,29.18027093,0.868357068,143.9041334,0.603427468,Production,20.575047,106.659054,2020,2,1
105,108P,2020-02-01,18.79,75,56.3,0,75,751.0,3.991484832,2.996274614,0.0,3.991484832,0.0,Production,20.53645,106.646651,2020,2,1
106,2X,2020-02-01,28.29,1274,147.8,12,1286,116.0,45.03358077,5.22446094,0.424178155,45.45775893,0.933125972,Exploration,20.55606,106.646396,2020,2,1
107,3X,2020-02-01,14.395,5587,787.8,39,5626,70.5,388.1208753,54.72733588,2.709274053,390.8301494,0.693210096,Exploration,20.595273,106.733257,2020,2,1
108,4X,2020-02-01,12.855,3958,522.5,24,3982,66.0,307.8957604,40.64566317,1.86697783,309.7627382,0.602712205,Exploration,20.660821,106.727077,2020,2,1
109,5X,2020-02-01,15.42,154,100.3,47,201,651.0,9.987029831,6.504539559,3.047989624,13.03501946,23.38308458,Exploration,20.62548,106.773082,2020,2,1
110,101P,2020-03-01,15.5,5828,577.0,41,5869,49.5,376.0,37.22580645,2.64516129,378.6451613,0.69858579,Production,20.656645,106.63129,2020,3,1
111,102P,2020-03-01,30.79,4220,400.9,43,4263,95.0,137.0574862,13.02046119,1.396557324,138.4540435,1.008679334,Production,20.579846,106.835224,2020,3,1
112,103P,2020-03-01,15.5,4991,613.9,35,5026,61.5,322.0,39.60645161,2.258064516,324.2580645,0.69637883,Production,20.674955,106.759349,2020,3,1
113,104P,2020-03-01,24.08,844,332.5,127,971,394.0,35.04983389,13.80813953,5.274086379,40.32392027,13.07929969,Production,20.503652,106.741497,2020,3,1
114,105P,2020-03-01,12.0,12,14.2,109,121,1187.0,1.0,1.183333333,9.083333333,10.08333333,90.08264463,Production,20.547723,106.699911,2020,3,1
115,106P,2020-03-01,15.29,3244,0.0,53,3297,0.0,212.1648136,0.0,3.466317855,215.6311315,1.60752199,Production,20.541916,106.570045,2020,3,1
116,107P,2020-03-01,31.0,4928,1340.4,25,4953,272.0,158.9677419,43.23870968,0.806451613,159.7741935,0.504744599,Production,20.575047,106.659054,2020,3,1
117,108P,2020-03-01,31.0,22,19.5,0,22,888.0,0.709677419,0.629032258,0.0,0.709677419,0.0,Production,20.53645,106.646651,2020,3,1
118,2X,2020-03-01,26.5,1590,87.5,16,1606,55.0,60.0,3.301886792,0.603773585,60.60377358,0.99626401,Exploration,20.55606,106.646396,2020,3,1
119,3X,2020-03-01,15.5,5694,529.5,40,5734,46.5,367.3548387,34.16129032,2.580645161,369.9354839,0.697593303,Exploration,20.595273,106.733257,2020,3,1
120,4X,2020-03-01,15.5,4588,591.9,28,4616,64.5,296.0,38.18709677,1.806451613,297.8064516,0.606585789,Exploration,20.660821,106.727077,2020,3,1
121,5X,2020-03-01,31.0,87,89.4,2,89,1028.0,2.806451613,2.883870968,0.064516129,2.870967742,2.247191011,Exploration,20.62548,106.773082,2020,3,1
122,101P,2020-04-01,15.0,5345,491.7,38,5383,46.0,356.3333333,32.78,2.533333333,358.8666667,0.705926064,Production,20.656645,106.63129,2020,4,1
123,102P,2020-04-01,30.0,3780,287.3,34,3814,76.0,126.0,9.576666667,1.133333333,127.1333333,0.891452543,Production,20.579846,106.835224,2020,4,1
124,103P,2020-04-01,15.0,3960,396.0,28,3988,50.0,264.0,26.4,1.866666667,265.8666667,0.702106319,Production,20.674955,106.759349,2020,4,1
125,104P,2020-04-01,24.29,535,85.1,7,542,159.0,22.02552491,3.503499382,0.288184438,22.31370935,1.291512915,Production,20.503652,106.741497,2020,4,1
126,105P,2020-04-01,30.0,110,91.0,254,364,827.0,3.666666667,3.033333333,8.466666667,12.13333333,69.78021978,Production,20.547723,106.699911,2020,4,1
127,106P,2020-04-01,15.0,3720,1026.7,41,3761,138.0,248.0,68.44666667,2.733333333,250.7333333,1.090135602,Production,20.541916,106.570045,2020,4,1
128,107P,2020-04-01,30.0,4530,1164.2,9,4539,257.0,151.0,38.80666667,0.3,151.3,0.19828156,Production,20.575047,106.659054,2020,4,1
129,108P,2020-04-01,30.0,10,6.7,0,10,669.0,0.333333333,0.223333333,0.0,0.333333333,0.0,Production,20.53645,106.646651,2020,4,1
130,2X,2020-04-01,29.92,1375,57.8,20,1395,42.0,45.95588235,1.931818182,0.668449198,46.62433155,1.433691756,Exploration,20.55606,106.646396,2020,4,1
131,3X,2020-04-01,15.0,5280,401.3,32,5312,38.0,352.0,26.75333333,2.133333333,354.1333333,0.602409639,Exploration,20.595273,106.733257,2020,4,1
132,4X,2020-04-01,15.0,4320,445.0,31,4351,51.5,288.0,29.66666667,2.066666667,290.0666667,0.71247989,Exploration,20.660821,106.727077,2020,4,1
133,5X,2020-04-01,14.58,204,91.4,59,263,448.0,13.99176955,6.268861454,4.046639232,18.03840878,22.43346008,Exploration,20.62548,106.773082,2020,4,1
134,101P,2020-05-01,15.5,5456,638.4,39,5495,58.5,352.0,41.18709677,2.516129032,354.516129,0.709736124,Production,20.656645,106.63129,2020,5,1
135,102P,2020-05-01,31.0,3596,161.8,25,3621,45.0,116.0,5.219354839,0.806451613,116.8064516,0.690417012,Production,20.579846,106.835224,2020,5,1
136,103P,2020-05-01,15.5,3596,388.4,25,3621,54.0,232.0,25.05806452,1.612903226,233.6129032,0.690417012,Production,20.674955,106.759349,2020,5,1
137,104P,2020-05-01,30.42,790,184.9,10,800,234.0,25.96975674,6.078238001,0.328731098,26.29848784,1.25,Production,20.503652,106.741497,2020,5,1
138,105P,2020-05-01,31.0,165,79.9,152,317,484.0,5.322580645,2.577419355,4.903225806,10.22580645,47.94952681,Production,20.547723,106.699911,2020,5,1
139,106P,2020-05-01,15.5,3472,1006.9,49,3521,145.0,224.0,64.96129032,3.161290323,227.1612903,1.391650099,Production,20.541916,106.570045,2020,5,1
140,107P,2020-05-01,31.0,4304,1192.2,9,4313,277.0,138.8387097,38.45806452,0.290322581,139.1290323,0.208671458,Production,20.575047,106.659054,2020,5,1
141,108P,2020-05-01,31.0,31,28.4,2,33,917.0,1.0,0.916129032,0.064516129,1.064516129,6.060606061,Production,20.53645,106.646651,2020,5,1
142,2X,2020-05-01,30.92,1266,81.0,26,1292,64.0,40.94437257,2.619663648,0.84087969,41.78525226,2.012383901,Exploration,20.55606,106.646396,2020,5,1
143,3X,2020-05-01,15.5,5208,510.4,37,5245,49.0,336.0,32.92903226,2.387096774,338.3870968,0.705433746,Exploration,20.595273,106.733257,2020,5,1
144,4X,2020-05-01,15.5,4278,479.1,26,4304,56.0,276.0,30.90967742,1.677419355,277.6774194,0.604089219,Exploration,20.660821,106.727077,2020,5,1
145,5X,2020-05-01,30.79,678,189.2,30,708,279.0,22.02013641,6.144852225,0.974342319,22.99447873,4.237288136,Exploration,20.62548,106.773082,2020,5,1
146,101P,2020-06-01,14.855,4782,277.4,34,4816,29.0,321.9118142,18.67384719,2.288791653,324.2006059,0.705980066,Production,20.656645,106.63129,2020,6,1
147,102P,2020-06-01,30.0,3390,105.1,31,3421,31.0,113.0,3.503333333,1.033333333,114.0333333,0.906167787,Production,20.579846,106.835224,2020,6,1
148,103P,2020-06-01,15.0,3240,298.1,23,3263,46.0,216.0,19.87333333,1.533333333,217.5333333,0.704872816,Production,20.674955,106.759349,2020,6,1
149,104P,2020-06-01,29.5,766,157.0,8,774,205.0,25.96610169,5.322033898,0.271186441,26.23728814,1.033591731,Production,20.503652,106.741497,2020,6,1
150,105P,2020-06-01,30.0,140,66.5,102,242,475.0,4.666666667,2.216666667,3.4,8.066666667,42.14876033,Production,20.547723,106.699911,2020,6,1
151,106P,2020-06-01,14.855,3326,997.8,40,3366,150.0,223.8976775,67.16930326,2.692696062,226.5903736,1.18835413,Production,20.541916,106.570045,2020,6,1
152,107P,2020-06-01,29.71,4455,1501.3,9,4464,337.0,149.9495119,50.53180747,0.302928307,150.2524403,0.201612903,Production,20.575047,106.659054,2020,6,1
153,108P,2020-06-01,30.0,120,7.0,44,164,58.0,4.0,0.233333333,1.466666667,5.466666667,26.82926829,Production,20.53645,106.646651,2020,6,1
154,2X,2020-06-01,29.5,1092,25.1,10,1102,23.0,37.01694915,0.850847458,0.338983051,37.3559322,0.907441016,Exploration,20.55606,106.646396,2020,6,1
155,3X,2020-06-01,14.855,4792,445.7,34,4826,46.5,322.5849882,30.00336587,2.288791653,324.8737799,0.704517199,Exploration,20.595273,106.733257,2020,6,1
156,4X,2020-06-01,15.0,3780,340.2,19,3799,45.0,252.0,22.68,1.266666667,253.2666667,0.500131614,Exploration,20.660821,106.727077,2020,6,1
157,5X,2020-06-01,29.21,672,128.4,19,691,191.0,23.00581992,4.395754878,0.65046217,23.6562821,2.749638205,Exploration,20.62548,106.773082,2020,6,1
158,101P,2020-07-01,15.5,4987,254.3,30,5017,25.5,321.7419355,16.40645161,1.935483871,323.6774194,0.597966912,Production,20.656645,106.63129,2020,7,1
159,102P,2020-07-01,31.0,3813,270.7,39,3852,71.0,123.0,8.732258065,1.258064516,124.2580645,1.012461059,Production,20.579846,106.835224,2020,7,1
160,103P,2020-07-01,15.5,2821,166.4,20,2841,29.5,182.0,10.73548387,1.290322581,183.2903226,0.703977473,Production,20.674955,106.759349,2020,7,1
161,104P,2020-07-01,29.92,807,117.8,8,815,146.0,26.97192513,3.937165775,0.267379679,27.23930481,0.981595092,Production,20.503652,106.741497,2020,7,1
162,105P,2020-07-01,31.0,113,62.3,79,192,551.0,3.64516129,2.009677419,2.548387097,6.193548387,41.14583333,Production,20.547723,106.699911,2020,7,1
163,106P,2020-07-01,15.5,3286,713.1,50,3336,108.5,212.0,46.00645161,3.225806452,215.2258065,1.498800959,Production,20.541916,106.570045,2020,7,1
164,107P,2020-07-01,31.0,4371,1359.4,9,4380,311.0,141.0,43.8516129,0.290322581,141.2903226,0.205479452,Production,20.575047,106.659054,2020,7,1
165,108P,2020-07-01,31.0,120,5.6,44,164,47.0,3.870967742,0.180645161,1.419354839,5.290322581,26.82926829,Production,20.53645,106.646651,2020,7,1
166,2X,2020-07-01,30.92,1082,72.5,8,1090,67.0,34.99353169,2.344760673,0.258732212,35.25226391,0.733944954,Exploration,20.55606,106.646396,2020,7,1
167,3X,2020-07-01,15.5,4681,308.9,33,4714,33.0,302.0,19.92903226,2.129032258,304.1290323,0.700042427,Exploration,20.595273,106.733257,2020,7,1
168,4X,2020-07-01,15.46,3924,251.1,24,3948,32.0,253.8163001,16.24191462,1.552393273,255.3686934,0.607902736,Exploration,20.660821,106.727077,2020,7,1
169,5X,2020-07-01,29.29,557,374.3,17,574,672.0,19.01672926,12.7791055,0.580402868,19.59713213,2.961672474,Exploration,20.62548,106.773082,2020,7,1
170,101P,2020-08-01,15.5,5270,326.7,37,5307,31.0,340.0,21.07741935,2.387096774,342.3870968,0.697192387,Production,20.656645,106.63129,2020,8,1
171,102P,2020-08-01,31.0,3689,265.6,37,3726,72.0,119.0,8.567741935,1.193548387,120.1935484,0.993022008,Production,20.579846,106.835224,2020,8,1
